"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C13a201,C13b201,C14a201,C14b201,C15a201,C15b201,C16a201,C16b201,C17a201,C17b201","10","0.1uF","","","","Capacitor_SMD:C_1812_4532Metric","~"
"C18a201,C18b201","2","220pF","","","","Capacitor_SMD:C_1812_4532Metric","~"
"C101,C104,C105,C112,C113","5","10uF","","","","","~"
"C102,C107,C108,C109,C110,C111,C114,C116,C204,C217,C303,C304,C305,C306,C307,C308,C309,C311,C312,C313,C314,C317,C319,C320,C321,C401,C402,C403,C404,C405,C406,C407,C410,C412,C414","35","100nF","","","","","~"
"C103","1","1uF","","","","","~"
"C106,C310,C411,C413","4","4.7uF","","","","","~"
"C115,C206","2","47uF","","","","","~"
"C201","1","33nF","","","","","~"
"C202","1","0.47uF","","","","","~"
"C203,C207","2","0.1uF","","","","","~"
"C205,C315,C318","3","100pF","","","","","~"
"C208","1","10nF","","","","","~"
"C209,C210,C211,C212,C213,C214,C215,C216","8","1nF","","","","","~"
"C301,C302","2","18pF","","","","","~"
"C316","1","510pF","","","","","~"
"C408","1","22nF","","","","","~"
"C409","1","47nF","","","","","~"
"C415","1","1pF","","","","","~"
"D101,D102","2","LED","","","","","~"
"D201","1","BAS516","","","","Diode_SMD:D_SOD-523","https://assets.nexperia.com/documents/data-sheet/BAS16_SER.pdf"
"D202,D203","2","BZT52C18-7-F","","","","SOD123_DIO","BZT52C18-7-F"
"D204,D205,D206,D207,D208,D209,D210,D211","8","BAV23S","","","","SOT-23_TO-236_318-AT_OSI","BAV23S"
"F101","1","MF-MSMF050-2","","","","","~"
"FB301","1","BLM18EG121SN1","","","","","~"
"J101","1","DX07S024WJ3R400","","","","CONN_DX07S024WJ3R400_JAE","DX07S024WJ3R400"
"J_PMT401","1","PMT","","","","","~"
"L101,L102","2","47uH","","","","","~"
"L103","1","100uH","","","","","~"
"Q201","1","IRLML0040","","","","Package_TO_SOT_SMD:SOT-23",""
"Q401,Q402,Q403","3","MMBTA42","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/MMBTA42LT1-D.PDF"
"R101,R102","2","330","","","","","~"
"R201,R410","2","1M","","","","","~"
"R202","1","180k","","","","","~"
"R203,R220,R231,R232","4","100k","","","","","~"
"R204,R302,R303,R304,R305,R307,R309,R408,R411,R413","10","10k","","","","","~"
"R205","1","0.1R","","","","","~"
"R206,R233","2","10R","","","","","~"
"R207,R209,R210,R211,R212,R213,R214,R215,R216,R217","10","100M","","","","","~"
"R208","1","2.2M","","","","","~"
"R218","1","1.2k","","","","","~"
"R219","1","110k","","","","","~"
"R221,R222,R223,R224,R225,R226,R227,R228,R229,R230","10","6.8M","","","","","~"
"R301","1","R470","","","","","~"
"R306,R308","2","1k","","","","","~"
"R310","1","22k","","","","","~"
"R311","1","5.9k","","","","","~"
"R312","1","8.2k","","","","","~"
"R313","1","2k","","","","","~"
"R401,R402","2","750k","","","","","~"
"R403,R404,R405,R406,R407","5","680k","","","","","~"
"R409","1","820k","","","","","~"
"R412,R414","2","499k","","","","","~"
"R415","1","50","","","","","~"
"R416","1","100","","","","","~"
"R417","1","1.5k","","","","","~"
"R_CC101,R_CC102","2","5.1k","","","","","~"
"T201","1","ATB322524-0110-T000","","","","CHOKE_524-0110-T000_TDK","ATB322524-0110-T000"
"U101","1","LP5907MFX-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907.pdf"
"U102","1","AMS1117CD-3.3","","","","Package_TO_SOT_SMD:TO-252-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U103","1","FT231XQ","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf"
"U104","1","TPS60400DBV","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tps60400.pdf"
"U201","1","max1847eee+","","","","21-0055H_16_MXM","max1847eee+"
"U202,U301","2","TL431DBZ","","","","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/tl431.pdf"
"U302","1","STM32G474METx","","","","Package_QFP:LQFP-80_12x12mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32g474me.pdf"
"U303","1","W25Q64JVSSIQ","","","","SOIC-8_5P28X5P28_WIN","W25Q64JVSSIQ"
"U401","1","AD8000YRDZ-REEL","","","","RD_8_1_ADI","AD8000YRDZ-REEL"
"U_ESD101","1","PRTR5V0U2X","","","","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf"
"Y301","1","Crystal_GND24","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
